Index,relPosN,relPosE,UTC
639,,,
640,0.1510,0.5489,11:15:20.400 03/07/2019
641,,,
642,0.1510,0.5496,11:15:20.640 03/07/2019
643,,,
644,0.1520,0.5483,11:15:20.880 03/07/2019
645,,,
646,0.1517,0.5479,11:15:21.060 03/07/2019
647,,,
648,0.1524,0.5487,11:15:21.240 03/07/2019
649,,,
650,0.1526,0.5481,11:15:21.420 03/07/2019
651,,,
652,0.1536,0.5485,11:15:21.600 03/07/2019
653,,,
654,0.1523,0.5502,11:15:21.780 03/07/2019
655,,,
656,0.1531,0.5497,11:15:22.020 03/07/2019
657,,,
658,0.1530,0.5493,11:15:22.200 03/07/2019
659,,,
660,0.1541,0.5474,11:15:22.380 03/07/2019
661,,,
662,0.1546,0.5468,11:15:22.560 03/07/2019
663,,,
664,0.1546,0.5463,11:15:22.740 03/07/2019
665,,,
666,0.1556,0.5469,11:15:22.920 03/07/2019
667,,,
668,0.1557,0.5461,11:15:23.100 03/07/2019
669,,,
670,0.1556,0.5454,11:15:23.280 03/07/2019
671,,,
672,0.1558,0.5454,11:15:23.460 03/07/2019
673,,,
674,0.1554,0.5446,11:15:23.640 03/07/2019
675,,,
676,0.1562,0.5446,11:15:23.820 03/07/2019
677,,,
678,0.1566,0.5444,11:15:24.000 03/07/2019
679,,,
680,0.1562,0.5436,11:15:24.240 03/07/2019
681,,,
682,0.1564,0.5435,11:15:24.420 03/07/2019
683,,,
684,0.1579,0.5446,11:15:24.600 03/07/2019
685,,,
686,0.1583,0.5453,11:15:24.780 03/07/2019
687,,,
688,0.1590,0.5450,11:15:24.960 03/07/2019
689,,,
690,0.1590,0.5449,11:15:25.140 03/07/2019
691,,,
692,0.1593,0.5447,11:15:25.320 03/07/2019
693,,,
694,0.1605,0.5462,11:15:25.500 03/07/2019
695,,,
696,0.1605,0.5461,11:15:25.680 03/07/2019
697,,,
698,0.1612,0.5462,11:15:25.860 03/07/2019
699,,,
700,0.1610,0.5437,11:15:26.040 03/07/2019
701,,,
702,0.1607,0.5433,11:15:26.220 03/07/2019
703,,,
704,0.1625,0.5445,11:15:26.400 03/07/2019
705,,,
706,0.1627,0.5444,11:15:26.580 03/07/2019
707,,,
708,0.1640,0.5441,11:15:26.760 03/07/2019
709,,,
710,0.1648,0.5453,11:15:26.940 03/07/2019
711,,,
712,0.1657,0.5457,11:15:27.120 03/07/2019
713,,,
714,0.1651,0.5449,11:15:27.300 03/07/2019
715,,,
716,0.1659,0.5454,11:15:27.480 03/07/2019
717,,,
718,0.1657,0.5451,11:15:27.660 03/07/2019
719,,,
720,0.1665,0.5453,11:15:27.840 03/07/2019
721,,,
722,0.1647,0.5451,11:15:28.020 03/07/2019
723,,,
724,0.1637,0.5445,11:15:28.200 03/07/2019
725,,,
726,0.1635,0.5443,11:15:28.380 03/07/2019
727,,,
728,0.1633,0.5447,11:15:28.560 03/07/2019
729,,,
730,0.1632,0.5438,11:15:28.740 03/07/2019
731,,,
732,0.1625,0.5456,11:15:28.920 03/07/2019
733,,,
734,0.1616,0.5455,11:15:29.100 03/07/2019
735,,,
736,0.1621,0.5466,11:15:29.280 03/07/2019
737,,,
738,0.1620,0.5458,11:15:29.460 03/07/2019
739,,,
740,0.1611,0.5456,11:15:29.640 03/07/2019
741,,,
742,0.1616,0.5457,11:15:29.820 03/07/2019
743,,,
744,0.1612,0.5455,11:15:30.000 03/07/2019
745,,,
746,0.1613,0.5455,11:15:30.180 03/07/2019
747,,,
748,0.1599,0.5435,11:15:30.360 03/07/2019
749,,,
750,0.1609,0.5437,11:15:30.540 03/07/2019
751,,,
752,0.1614,0.5443,11:15:30.720 03/07/2019
753,,,
754,0.1596,0.5428,11:15:30.900 03/07/2019
755,,,
756,0.1593,0.5439,11:15:31.080 03/07/2019
757,,,
758,0.1601,0.5444,11:15:31.260 03/07/2019
759,,,
760,0.1608,0.5455,11:15:31.440 03/07/2019
761,,,
762,0.1612,0.5454,11:15:31.620 03/07/2019
763,,,
764,0.1615,0.5457,11:15:31.800 03/07/2019
765,,,
766,0.1617,0.5454,11:15:31.980 03/07/2019
767,,,
768,0.1630,0.5464,11:15:32.160 03/07/2019
769,,,
770,0.1624,0.5458,11:15:32.340 03/07/2019
771,,,
772,0.1627,0.5462,11:15:32.520 03/07/2019
773,,,
774,0.1570,0.5461,11:15:32.700 03/07/2019
775,,,
776,0.1558,0.5457,11:15:32.880 03/07/2019
777,,,
778,0.1554,0.5461,11:15:33.060 03/07/2019
779,,,
780,0.1556,0.5451,11:15:33.240 03/07/2019
781,,,
782,0.1553,0.5458,11:15:33.420 03/07/2019
783,,,
784,0.1558,0.5458,11:15:33.600 03/07/2019
785,,,
786,0.1567,0.5457,11:15:33.780 03/07/2019
787,,,
788,0.1563,0.5461,11:15:33.960 03/07/2019
789,,,
790,0.1561,0.5473,11:15:34.140 03/07/2019
791,,,
792,0.1556,0.5474,11:15:34.320 03/07/2019
793,,,
794,0.1559,0.5469,11:15:34.500 03/07/2019
795,,,
796,0.1560,0.5471,11:15:34.680 03/07/2019
797,,,
798,0.1569,0.5479,11:15:34.860 03/07/2019
799,,,
800,0.1568,0.5481,11:15:35.040 03/07/2019
801,,,
802,0.1591,0.5473,11:15:35.220 03/07/2019
803,,,
804,0.1585,0.5472,11:15:35.400 03/07/2019
805,,,
806,0.1590,0.5475,11:15:35.580 03/07/2019
807,,,
808,0.1552,0.5486,11:15:35.760 03/07/2019
809,,,
810,0.1557,0.5477,11:15:35.940 03/07/2019
811,,,
812,0.1557,0.5494,11:15:36.120 03/07/2019
813,,,
814,0.1556,0.5486,11:15:36.300 03/07/2019
815,,,
816,0.1540,0.5484,11:15:36.480 03/07/2019
817,,,
818,0.1550,0.5483,11:15:36.660 03/07/2019
819,,,
820,0.1540,0.5485,11:15:36.840 03/07/2019
821,,,
822,0.1546,0.5490,11:15:37.020 03/07/2019
823,,,
824,0.1533,0.5489,11:15:37.200 03/07/2019
825,,,
826,0.1537,0.5481,11:15:37.380 03/07/2019
827,,,
828,0.1499,0.5463,11:15:37.560 03/07/2019
829,,,
830,0.1499,0.5460,11:15:37.740 03/07/2019
831,,,
832,0.1510,0.5459,11:15:37.920 03/07/2019
833,,,
834,0.1517,0.5466,11:15:38.100 03/07/2019
835,,,
836,0.1523,0.5465,11:15:38.280 03/07/2019
837,,,
838,0.1521,0.5468,11:15:38.460 03/07/2019
839,,,
840,0.1530,0.5465,11:15:38.640 03/07/2019
841,,,
842,0.1533,0.5467,11:15:38.820 03/07/2019
843,,,
844,0.1532,0.5467,11:15:39.000 03/07/2019
845,,,
846,0.1540,0.5463,11:15:39.180 03/07/2019
847,,,
848,0.1552,0.5466,11:15:39.360 03/07/2019
849,,,
850,0.1550,0.5464,11:15:39.540 03/07/2019
851,,,
852,0.1551,0.5455,11:15:39.720 03/07/2019
853,,,
854,0.1573,0.5423,11:15:39.900 03/07/2019
855,,,
856,0.1572,0.5426,11:15:40.080 03/07/2019
857,,,
858,0.1573,0.5423,11:15:40.260 03/07/2019
859,,,
860,0.1570,0.5425,11:15:40.440 03/07/2019
861,,,
862,0.1576,0.5416,11:15:40.620 03/07/2019
